"CAT_DETAIL","WEEK_END_DATE","CATEGORY","CAT_TOTALCASES","CAT_TOTALDEATHS","CAT_TOTALHOSP"
"White","2024 Dec 31 12:00:00 AM","RACE","1,817,150","24,080","39,896"
"Black or African American","2024 Dec 31 12:00:00 AM","RACE","401,950","4,759","11,879"
"Other/Multiracial","2024 Dec 31 12:00:00 AM","RACE","194,105","1,095","2,839"
"Asian","2024 Dec 31 12:00:00 AM","RACE","28,458","140","346"
"American Indian or Alaska Native","2024 Dec 31 12:00:00 AM","RACE","4,897","31","93"
"Native Hawaiian or Other Pacific Islander","2024 Dec 31 12:00:00 AM","RACE","2,472","14","42"
"Unknown","2024 Dec 31 12:00:00 AM","RACE","369,879","1,034","2,362"
"Not Hispanic or Latino","2024 Dec 31 12:00:00 AM","ETHNICITY","1,887,139","27,831","49,526"
"Hispanic","2024 Dec 31 12:00:00 AM","ETHNICITY","111,967","629","2,320"
"Unknown","2024 Dec 31 12:00:00 AM","ETHNICITY","819,805","2,693","5,611"
"Female","2024 Dec 31 12:00:00 AM","SEX","1,553,745","14,442","28,288"
"Male","2024 Dec 31 12:00:00 AM","SEX","1,247,116","16,689","29,081"
"Unknown","2024 Dec 31 12:00:00 AM","SEX","18,050","22","88"
"White","2024 Dec 28 12:00:00 AM","RACE","1,816,417","24,080","39,885"
"Black or African American","2024 Dec 28 12:00:00 AM","RACE","401,834","4,759","11,876"
"Other/Multiracial","2024 Dec 28 12:00:00 AM","RACE","194,089","1,095","2,839"
"Asian","2024 Dec 28 12:00:00 AM","RACE","28,455","140","346"
"American Indian or Alaska Native","2024 Dec 28 12:00:00 AM","RACE","4,897","31","93"
"Native Hawaiian or Other Pacific Islander","2024 Dec 28 12:00:00 AM","RACE","2,471","14","42"
"Unknown","2024 Dec 28 12:00:00 AM","RACE","369,821","1,034","2,362"
"Not Hispanic or Latino","2024 Dec 28 12:00:00 AM","ETHNICITY","1,886,509","27,831","49,512"
"Hispanic","2024 Dec 28 12:00:00 AM","ETHNICITY","111,954","629","2,320"
"Unknown","2024 Dec 28 12:00:00 AM","ETHNICITY","819,521","2,693","5,611"
"Female","2024 Dec 28 12:00:00 AM","SEX","1,553,197","14,442","28,281"
"Male","2024 Dec 28 12:00:00 AM","SEX","1,246,737","16,689","29,074"
"Unknown","2024 Dec 28 12:00:00 AM","SEX","18,050","22","88"
"White","2024 Dec 21 12:00:00 AM","RACE","1,814,962","24,080","39,860"
"Black or African American","2024 Dec 21 12:00:00 AM","RACE","401,621","4,759","11,871"
"Other/Multiracial","2024 Dec 21 12:00:00 AM","RACE","194,040","1,095","2,838"
"Asian","2024 Dec 21 12:00:00 AM","RACE","28,444","140","346"
"American Indian or Alaska Native","2024 Dec 21 12:00:00 AM","RACE","4,894","31","93"
"Native Hawaiian or Other Pacific Islander","2024 Dec 21 12:00:00 AM","RACE","2,468","14","42"
"Unknown","2024 Dec 21 12:00:00 AM","RACE","369,711","1,034","2,362"
"Not Hispanic or Latino","2024 Dec 21 12:00:00 AM","ETHNICITY","1,885,220","27,831","49,484"
"Hispanic","2024 Dec 21 12:00:00 AM","ETHNICITY","111,902","629","2,320"
"Unknown","2024 Dec 21 12:00:00 AM","ETHNICITY","819,018","2,693","5,608"
"Female","2024 Dec 21 12:00:00 AM","SEX","1,552,063","14,442","28,264"
"Male","2024 Dec 21 12:00:00 AM","SEX","1,246,030","16,689","29,060"
"Unknown","2024 Dec 21 12:00:00 AM","SEX","18,047","22","88"
"White","2024 Dec 14 12:00:00 AM","RACE","1,813,376","24,080","39,844"
"Black or African American","2024 Dec 14 12:00:00 AM","RACE","401,384","4,759","11,870"
"Other/Multiracial","2024 Dec 14 12:00:00 AM","RACE","193,967","1,095","2,837"
"Asian","2024 Dec 14 12:00:00 AM","RACE","28,434","140","346"
"American Indian or Alaska Native","2024 Dec 14 12:00:00 AM","RACE","4,893","31","93"
"Native Hawaiian or Other Pacific Islander","2024 Dec 14 12:00:00 AM","RACE","2,468","14","42"
"Unknown","2024 Dec 14 12:00:00 AM","RACE","369,606","1,034","2,361"
"Not Hispanic or Latino","2024 Dec 14 12:00:00 AM","ETHNICITY","1,883,777","27,831","49,466"
"Hispanic","2024 Dec 14 12:00:00 AM","ETHNICITY","111,861","629","2,320"
"Unknown","2024 Dec 14 12:00:00 AM","ETHNICITY","818,490","2,693","5,607"
"Female","2024 Dec 14 12:00:00 AM","SEX","1,550,826","14,442","28,253"
"Male","2024 Dec 14 12:00:00 AM","SEX","1,245,258","16,689","29,053"
"Unknown","2024 Dec 14 12:00:00 AM","SEX","18,044","22","87"
"White","2024 Dec 07 12:00:00 AM","RACE","1,812,082","24,072","39,824"
"Black or African American","2024 Dec 07 12:00:00 AM","RACE","401,185","4,759","11,868"
"Other/Multiracial","2024 Dec 07 12:00:00 AM","RACE","193,907","1,095","2,837"
"Asian","2024 Dec 07 12:00:00 AM","RACE","28,429","140","346"
"American Indian or Alaska Native","2024 Dec 07 12:00:00 AM","RACE","4,893","31","93"
"Native Hawaiian or Other Pacific Islander","2024 Dec 07 12:00:00 AM","RACE","2,466","14","42"
"Unknown","2024 Dec 07 12:00:00 AM","RACE","369,508","1,034","2,360"
"Not Hispanic or Latino","2024 Dec 07 12:00:00 AM","ETHNICITY","1,882,524","27,824","49,445"
"Hispanic","2024 Dec 07 12:00:00 AM","ETHNICITY","111,827","629","2,320"
"Unknown","2024 Dec 07 12:00:00 AM","ETHNICITY","818,119","2,692","5,605"
"Female","2024 Dec 07 12:00:00 AM","SEX","1,549,792","14,439","28,237"
"Male","2024 Dec 07 12:00:00 AM","SEX","1,244,641","16,684","29,046"
"Unknown","2024 Dec 07 12:00:00 AM","SEX","18,037","22","87"
"White","2024 Nov 30 12:00:00 AM","RACE","1,810,924","24,069","39,805"
"Black or African American","2024 Nov 30 12:00:00 AM","RACE","401,026","4,759","11,866"
"Other/Multiracial","2024 Nov 30 12:00:00 AM","RACE","193,854","1,095","2,835"
"Asian","2024 Nov 30 12:00:00 AM","RACE","28,423","140","346"
"American Indian or Alaska Native","2024 Nov 30 12:00:00 AM","RACE","4,887","31","93"
"Native Hawaiian or Other Pacific Islander","2024 Nov 30 12:00:00 AM","RACE","2,466","14","42"
"Unknown","2024 Nov 30 12:00:00 AM","RACE","369,416","1,034","2,359"
"Not Hispanic or Latino","2024 Nov 30 12:00:00 AM","ETHNICITY","1,881,424","27,821","49,424"
"Hispanic","2024 Nov 30 12:00:00 AM","ETHNICITY","111,793","629","2,320"
"Unknown","2024 Nov 30 12:00:00 AM","ETHNICITY","817,779","2,692","5,602"
"Female","2024 Nov 30 12:00:00 AM","SEX","1,548,898","14,438","28,223"
