"Label (Grouping)","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error"
"SEX AND AGE","","","",""
"    Total population","7,051,339","*****","7,051,339","(X)"
"        Male","3,462,618","±5,979","49.1%","±0.1"
"        Female","3,588,721","±5,979","50.9%","±0.1"
"        Sex ratio (males per 100 females)","96.5","±0.3","(X)","(X)"
"        Under 5 years","402,215","±3,532","5.7%","±0.1"
"        5 to 9 years","422,122","±10,483","6.0%","±0.1"
"        10 to 14 years","439,813","±10,748","6.2%","±0.2"
"        15 to 19 years","446,948","±6,192","6.3%","±0.1"
"        20 to 24 years","472,131","±5,586","6.7%","±0.1"
"        25 to 34 years","964,188","±5,924","13.7%","±0.1"
"        35 to 44 years","909,015","±5,983","12.9%","±0.1"
"        45 to 54 years","867,729","±5,074","12.3%","±0.1"
"        55 to 59 years","449,565","±10,069","6.4%","±0.1"
"        60 to 64 years","459,649","±9,689","6.5%","±0.1"
"        65 to 74 years","729,543","±3,207","10.3%","±0.1"
"        75 to 84 years","371,939","±4,609","5.3%","±0.1"
"        85 years and over","116,482","±4,436","1.7%","±0.1"
"        Median age (years)","39.2","±0.1","(X)","(X)"
"        Under 18 years","1,535,133","±3,376","21.8%","±0.1"
"        16 years and over","5,699,603","±6,142","80.8%","±0.1"
"        18 years and over","5,516,206","±3,376","78.2%","±0.1"
"        21 years and over","5,244,890","±8,544","74.4%","±0.1"
"        62 years and over","1,494,371","±10,230","21.2%","±0.1"
"        65 years and over","1,217,964","±3,365","17.3%","±0.1"
"        18 years and over","5,516,206","±3,376","5,516,206","(X)"
"            Male","2,675,018","±4,089","48.5%","±0.1"
"            Female","2,841,188","±3,594","51.5%","±0.1"
"            Sex ratio (males per 100 females)","94.2","±0.2","(X)","(X)"
"        65 years and over","1,217,964","±3,365","1,217,964","(X)"
"            Male","542,186","±2,201","44.5%","±0.1"
"            Female","675,778","±2,394","55.5%","±0.1"
"            Sex ratio (males per 100 females)","80.2","±0.4","(X)","(X)"
"RACE","","","",""
"    Total population","7,051,339","*****","7,051,339","(X)"
"        One race","6,566,289","±16,606","93.1%","±0.2"
"        Two or More Races","485,050","±16,606","6.9%","±0.2"
"        One race","6,566,289","±16,606","93.1%","±0.2"
"            White","5,150,306","±10,675","73.0%","±0.2"
"            Black or African American","1,098,360","±10,114","15.6%","±0.1"
"            American Indian and Alaska Native","14,856","±2,880","0.2%","±0.1"
"                Cherokee tribal grouping","3,326","±1,092","0.0%","±0.1"
"                Chippewa tribal grouping","128","±136","0.0%","±0.1"
"                Navajo tribal grouping","156","±155","0.0%","±0.1"
"                Sioux tribal grouping","194","±187","0.0%","±0.1"
"            Asian","133,729","±4,471","1.9%","±0.1"
"                Asian Indian","36,377","±5,180","0.5%","±0.1"
"                Chinese","22,075","±3,131","0.3%","±0.1"
"                Filipino","17,255","±3,189","0.2%","±0.1"
"                Japanese","3,361","±1,319","0.0%","±0.1"
"                Korean","12,146","±2,496","0.2%","±0.1"
"                Vietnamese","15,130","±3,685","0.2%","±0.1"
"                Other Asian","27,385","±5,087","0.4%","±0.1"
"            Native Hawaiian and Other Pacific Islander","5,882","±1,856","0.1%","±0.1"
